Pos,Cidade,IDH,IDH-renda,IDH-longevidade,IDH-educação
621º,Canitar,0680,0658,0791,0605
621º,Itaoca,0680,0627,0787,0637
624º,Taquarivaí,0679,0617,0811,0626
625º,Quadra,0678,0700,0822,0541
625º,Nazaré Paulista,0678,0681,0818,0559
625º,Silveiras,0678,0657,0812,0584
628º,Itariri,0677,0642,0837,0577
628º,Pedra Bela,0677,0671,0796,0581
628º,Marabá Paulista,0677,0650,0809,0591
631º,Guapiara,0675,0634,0806,0602
632º,Iaras,0674,0664,0848,0543
633º,Sete Barras,0673,0651,0832,0562
634º,Balbinos,0669,0690,0809,0537
635º,Tejupá,0668,0668,0794,0563
636º,Buri,0667,0642,0799,0578
637º,Riversul,0664,0634,0799,0577
638º,Itapirapuã Paulista,0661,0595,0816,0594
639º,Bom Sucesso de Itararé,0660,0605,0775,0613
639º,Barra do Chapéu,0660,0617,0779,0599
640º,Redenção da Serra,0657,0633,0799,0560
642º,Natividade da Serra,0655,0664,0814,0520
643º,Nova Campina,0651,0598,0799,0577
644º,Barra do Turvo,0641,0625,0792,0532
645º,Ribeirão Branco,0639,0592,0797,0553
IDH-M baixo,IDH-M baixo,IDH-M baixo,IDH-M baixo,IDH-M baixo,IDH-M baixo
nenhum município,nenhum município,nenhum município,nenhum município,nenhum município,nenhum município
IDH-M muito baixo,IDH-M muito baixo,IDH-M muito baixo,IDH-M muito baixo,IDH-M muito baixo,IDH-M muito baixo
nenhum município,nenhum município,nenhum município,nenhum município,nenhum município,nenhum município
